AANAT_F	0.00904941	-0.0128726	0.0210287	0.0146218	0.00604479	
ACBD7_F	0.00854437	-0.0125969	0.024703	0.0185515	0.00123884	
ACRBP_F	0.00854437	-0.0125969	0.024703	0.0185515	0.00123884	
ACTA1_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ACTA2_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ACTG2_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ACVR1B_F	0.00904941	-0.0128726	0.0210287	0.0146218	0.00604479	
ADAM32_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ADH1C_F	0.00904941	-0.0128726	0.0210287	0.0146218	0.00604479	
ADM_F	0.00839358	-0.0124666	0.0254393	0.0193741	-0.000317751	
ADRA1D_F	0.00824224	-0.0123367	0.0260904	0.0201154	-0.00178147	
AGBL2_F	0.00788378	-0.0119107	0.0270368	0.0212465	-0.00512155	
AGBL3_F	0.00854437	-0.0125969	0.024703	0.0185515	0.00123884	
AGER_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
AGMAT_F	0.00710502	-0.00904442	0.0235487	0.017432	-0.00945364	
AGRP_F	0.00860298	-0.0126322	0.0241696	0.0179902	0.00206047	
AKR1B10_F	0.00854437	-0.0125969	0.024703	0.0185515	0.00123884	
ALB_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ALDH8A1_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ALDOC_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ALPK3_F	0.00824224	-0.0123367	0.0260904	0.0201154	-0.00178147	
ALPPL2_F	0.00904941	-0.0128726	0.0210287	0.0146218	0.00604479	
AMICA1_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
AMN_F	0.00872112	-0.0127159	0.0235222	0.0172751	0.00301124	
AMPD1_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
AMY1C_F	0.0099237	-0.0127549	0.0148006	0.00871496	0.00134341	
ANGPT2_F	0.00822779	-0.0123193	0.0260315	0.0200701	-0.0017137	
ANGPTL2_F	0.0084615	-0.0125317	0.0250881	0.0189877	0.000480846	
ANGPTL4_F	0.00733513	-0.0100275	0.0249237	0.0187658	-0.00820083	
ANK1_F	0.0078476	-0.0118347	0.0270239	0.0212401	-0.00554118	
ANK3_F	0.00788378	-0.0119107	0.0270368	0.0212465	-0.00512155	
ANKRD24_F	0.00777528	-0.0116774	0.0267836	0.0210168	-0.00575966	
ANKRD2_F	0.00861458	-0.012646	0.0242063	0.0180179	0.0020682	
